"","n","S","S.hat.norm","Bias.norm","LL.norm","UL.norm","coverage.norm","LL.prob.norm","UL.prob.norm","S.hat.t","Bias.t","LL.t","UL.t","coverage.t","LL.prob.t","UL.prob.t","S.hat.robust","Bias.robust","LL.robust","UL.robust","coverage.robust","LL.prob.robust","UL.prob.robust"
"38",150,0.7,0.00684082013066898,-0.00155631358718227,0.536292389830507,0.856352910987862,0.915,0.046,0.039,0.0096871210698627,-0.000645860442779005,0.519514609668897,0.877304172324857,0.92,0.036,0.044,0.0126787789128343,-0.00337344962012809,0.516843423495159,0.874529516124845,0.889,0.053,0.058
"39",250,0.7,0.0041375403330093,-0.00144063199800676,0.573620627514981,0.821538533324335,0.921,0.033,0.046,0.00625230390573095,-0.000430837470764419,0.560525035549965,0.837477920987771,0.917,0.037,0.046,0.00843665785817261,0.00132507044488929,0.562164837252072,0.839350153862589,0.874,0.061,0.065
"40",500,0.7,0.00185820984253865,-0.00104333846778004,0.609481998137306,0.784786386551332,0.944,0.02,0.036,0.00288864570592606,-0.00177251219233928,0.600130268019124,0.795756785809533,0.926,0.031,0.043,0.00372888232848559,-0.00255985605419088,0.599351735225234,0.794961433343677,0.891,0.052,0.057
"41",50,0.8,0.0207590328285069,-0.000187291667201655,0.521148989749518,1.07553529213839,0.906,0.046,0.048,0.0343560808460277,0.0101032192342738,0.485442481214427,1.12857074092314,0.925,0.039,0.036,0.0451880186671434,0.00840359575808444,0.483450646821491,1.12713905911237,0.896,0.048,0.056
"42",100,0.8,0.0103960495602859,0.00425564180834747,0.609050959549159,1.00104353676744,0.913,0.053,0.034,0.0172071307976925,0.0127665824560466,0.584406077494613,1.03804104859191,0.918,0.041,0.041,0.0241131413959074,0.0137779991758411,0.58514472798505,1.03933723503133,0.867,0.08,0.053
"43",150,0.8,0.00662456655097069,0.00120848339804286,0.640566438680504,0.960627159113941,0.908,0.041,0.051,0.0110920018827102,0.00405505383986352,0.618538879524858,0.987520521754364,0.912,0.043,0.045,0.0162027451394457,0.00621400532619483,0.620449049381139,0.989932425751459,0.853,0.077,0.07
"44",250,0.8,0.0043960662697731,-0.00219728547242064,0.673560278977627,0.921478248748,0.912,0.04,0.048,0.00702046487309094,2.63952531787451e-05,0.656798017895624,0.942025811457871,0.913,0.04,0.047,0.00948122797807079,-0.00150623501121153,0.655283432049593,0.940478581095781,0.854,0.062,0.084
"45",500,0.8,0.00193209366525365,0.000870205366615048,0.713413719417847,0.888718182597671,0.92,0.045,0.035,0.00315573080001485,0.00330032134754154,0.702122455698219,0.903861249507141,0.939,0.036,0.025,0.00444604940751629,0.00609861309714343,0.704816302537235,0.906763374235805,0.874,0.069,0.057
"46",50,0.9,0.0209686114074683,0.00335839235585642,0.615348332977942,1.16976132837366,0.9,0.05,0.05,0.0383728554741934,0.0114583504699952,0.576168526896189,1.24022776426563,0.915,0.039,0.046,0.0526537916776252,0.0127588227262734,0.576807204942131,1.24218939845877,0.862,0.067,0.071
"47",100,0.9,0.00985896252269012,0.00276521340370888,0.704240884863337,1.09623343916625,0.903,0.052,0.045,0.0182522371013857,0.00825426601400045,0.672905203101359,1.1403402468419,0.918,0.044,0.038,0.0270819899782813,0.00828914159242053,0.672698693194949,1.14063286028512,0.852,0.085,0.063
"48",150,0.9,0.00700420250663846,0.0056466514783952,0.741676940083135,1.06173762253134,0.897,0.054,0.049,0.0128969587273449,0.00847145656117637,0.716733110874517,1.09803026037425,0.918,0.047,0.035,0.0170394190550432,0.00636767832754726,0.714664271860551,1.0958992285404,0.854,0.078,0.068
"49",250,0.9,0.00382265121823123,0.00314410634997895,0.779123146854543,1.02704097633546,0.896,0.054,0.05,0.00705698240864417,0.00340739393973818,0.755467006108992,1.05004032178846,0.926,0.034,0.04,0.0103908148843949,0.00292785786756373,0.754950564336471,1.04960061034333,0.859,0.075,0.066
"50",500,0.9,0.00201185135716737,-0.00107349236304562,0.810693340976496,0.985997899523829,0.905,0.044,0.051,0.00359233908280414,-5.92834712271436e-05,0.795649883558562,1.00357816677481,0.916,0.037,0.047,0.00486165149735821,-0.000995943080427481,0.794728198042152,1.00262735200262,0.867,0.064,0.069
